FID,OBJECTID,SHAPE,WC_ID,BEZIRK,STRASSE,ORTSANGABE,AKTIV,AKTIV_TXT,OEFFNUNGSZEIT,EINSCHRAENKUNGEN,PERSONALBETREUUNG,KATEGORIE,AUSSTATTUNG,ICON,ICON_TXT,KONTAKT,ABTEILUNG,INFORMATION,SE_ANNO_CAD_DATA
WCANLAGE2OGD.616619,616619,POINT (16.461781731964315 48.17720583085844),M45_MWC38,11,Margetinstraße - Alberner Hafenzufahrtstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616620,616620,POINT (16.460213325852173 48.17765900023553),M45_MWC40,11,Margetinstraße - Alberner Hafenzufahrtstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616621,616621,POINT (16.45791047095259 48.178330996441666),M45_MWC42,11,Margetinstraße - Alberner Hafenzufahrtstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616623,616623,POINT (16.348828657860157 48.284104185341995),M45_MWC52,19,Kuchelauer Hafen,,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616624,616624,POINT (16.363427750222677 48.27568617802392),M45_MWC60,21,Donauinsel,"zw. ND-km 18,7 - 18,6",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616625,616625,POINT (16.386333777667563 48.249740905664034),M45_BKZ06,21,Donauinsel,Da PONTE Eissalon,-1,JA,10:00-18:00 Uhr,Wintersperre,10 - 18 Uhr - gratis,,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616626,616626,POINT (16.38499591118459 48.24328584821096),M45_MWC23,20,Handelskai,Kinderspielplatz - Station Handelskai,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616627,616627,POINT (16.3913133370804 48.23775866845952),M45_MWC22,20,Handelskai,Kinderspielplatz - Brigittenauerbrücke,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616628,616628,POINT (16.404207356633794 48.237906920153875),M45_MWC01,22,Neue Donau,Grillzone Brigittenauer Bucht,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616629,616629,POINT (16.404848164915627 48.237170872123635),M45_MWC02,22,Neue Donau,Grillzone Brigittenauer Bucht,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616630,616630,POINT (16.410799420217206 48.227774492809125),M45_MWC16,22,Donauinsel,Reichsbrücke,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616631,616631,POINT (16.41363195663798 48.22548187623246),M45_MWC17,22,Donauinsel,Wasserspielplatz,-1,JA,täglich 10-18 Uhr,Wintersperre,täglich 10-18 Uhr,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616632,616632,POINT (16.413617188664283 48.225475106217424),M45_MWC18,22,Donauinsel,Wasserspielplatz,-1,JA,täglich 10-18 Uhr,Wintersperre,täglich 10-18 Uhr,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616633,616633,POINT (16.41771190229499 48.22615882759756),M45_MWC72,22,Neue Donau,Radmotorikpark,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616634,616634,POINT (16.46200080708548 48.19185538540926),M45_MWC20,22,Donauinsel,Grillplatz Nr. 14,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616635,616635,POINT (16.412708674228455 48.22084048531934),M45_MWC21,2,Handelskai,Kafkasteg,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616636,616636,POINT (16.429286113453724 48.20866908282195),M45_BKZ01,2,Handelskai 343,MARINA Restaurant,-1,JA,Di-Do und Sa-So 11:30 - 14:30 Fr 17:30 - 22:00,Wintersperre,Di-Do und Sa-So 11:30 - 14:30 Fr 17:30 - 22:00 - gratis,,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616637,616637,POINT (16.474118091967895 48.19503615495679),M45_MWC32,22,Luitpold-Stern-Gasse,ggü. 44,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616638,616638,POINT (16.476172983472846 48.206427388292155),M45_MWC35,22,Biberhaufenweg,ggü. Mühlwasserpromenade,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616639,616639,POINT (16.457640152840085 48.21100523445122),M45_MWC34,22,Maschankzkagrund,,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616640,616640,POINT (16.463538265241482 48.20938654892628),M45_MWC36,22,Dotterblumenweg,Unteres Mühlwasser,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616641,616641,POINT (16.442118072886085 48.21983475383338),M45_MWC33,22,Kirschenalleeweg,ggü. 81 Oberes Mühlwasser,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
