FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a1,5983327,POINT (16.342093319044807 48.19346677161469),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a2,5983328,POINT (16.342068881604785 48.19343975357956),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a3,5983329,POINT (16.34239650498339 48.19411096124696),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a4,5983330,POINT (16.343697310013674 48.19369647709453),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a5,5983331,POINT (16.343926969932546 48.193827504989024),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a6,5983332,POINT (16.3613378788575 48.198750199097816),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a7,5983333,POINT (16.361207220624436 48.198718471658616),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a8,5983334,POINT (16.361859013270433 48.19817271615435),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a9,5983335,POINT (16.339399428329564 48.189536829346075),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_aa,5983336,POINT (16.339193894615068 48.189597936937226),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ab,5983337,POINT (16.351848656370684 48.19788035622353),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ac,5983338,POINT (16.353304148490142 48.19785974417748),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ad,5983339,POINT (16.35236544880761 48.19790931457833),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ae,5983340,POINT (16.352421232227915 48.19726132150504),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_af,5983341,POINT (16.352635253214636 48.19758730661061),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b0,5983342,POINT (16.352601206642284 48.19740128998744),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b1,5983343,POINT (16.38958416869136 48.256378467944565),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b2,5983344,POINT (16.271670990984006 48.19034646440581),Trinkbrunnen,4,
